"aih_53. If you are traveling in a self-driving car, and the car is in control of the speed, what range speed would you feel most comfortable with when driving on: HIGHWAY ROADS ","aih_54. If you are traveling in a self-driving car, on HIGHWAY ROADS, you expect the car to change lanes:","aih_55. If you are traveling in a self-driving car, on HIGHWAY ROADS ,your preference for the way it accelerates and decelerate would be:","aih_56. If you are traveling in a self-driving car, how often would you expect the car to pass other vehicles when driving on: HIGHWAY ROADS ","aih_57. If you are traveling in a self-driving car, how often would you want the car to brake when driving on: HIGHWAY ROADS "
0.0,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.5,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.0,1.0,0.5,1.0,1.0
0.0,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.5,0.0
0.5,0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,1.0,1.0,0.0,0.5
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.5
0.5,0.5,0.5,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.5,0.5
1.0,1.0,0.0,0.0,0.5
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.0,0.0
1.0,1.0,1.0,1.0,1.0
0.5,1.0,1.0,0.5,0.0
0.0,0.0,0.5,0.0,0.5
0.5,0.5,0.0,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.5,0.0,0.0
0.5,0.5,1.0,0.5,1.0
0.0,0.0,0.0,1.0,0.5
0.5,1.0,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.5,0.5
0.5,0.0,1.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
