"ainh_47. If you are traveling in a self-driving car, and the car is in control of the speed, what range speed would you feel most comfortable with when driving on: NON-HIGHWAY ROADS ","ainh_48. If you are traveling in a self-driving car, on NON-HIGHWAY ROADS, you expect the car to change lanes:","ainh_49. If you are traveling in a self-driving car, on NON-HIGHWAY ROADS ,your preference for the way it accelerates and decelerate would be:","ainh_50. If you are traveling in a self-driving car, how often would you expect the car to pass other vehicles when driving on: NON-HIGHWAY ROADS ","ainh_51. If you are traveling in a self-driving car, how often would you want the car to brake when driving on: NON-HIGHWAY ROADS "
0.0,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.5,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.5,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.5,0.5,0.5,0.5
0.0,1.0,0.5,1.0,0.0
0.0,0.0,0.0,1.0,1.0
0.0,0.5,0.5,0.5,0.5
0.0,0.5,0.5,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
1.0,0.0,0.5,1.0,0.0
0.0,0.5,0.0,0.5,0.0
0.5,0.0,0.5,0.0,1.0
1.0,0.5,0.5,0.0,0.5
0.5,0.0,0.5,0.5,0.0
0.5,0.0,0.5,0.5,0.0
0.0,0.5,0.0,0.5,0.5
0.5,0.0,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.5,0.5,0.5
0.5,0.5,0.0,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,0.5,0.5
0.0,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,1.0
0.0,0.0,0.0,0.5,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,1.0
