dbnh_10. Which best describes your driving behavior most of the time in terms of speed while driving on: NON-HIGHWAY ROADS ,dbnh_12. Which best describes your lane changing behavior when driving on: NON-HIGHWAY ROADS,dbnh_14. How would you describe the way you accelerate and decelerate while driving on: NON-HIGHWAY ROADS,dbnh_15. How often do you pass other vehicles when driving on: NON-HIGHWAY ROADS,dbnh_17. Which best describes your braking behavior when driving on: NON-HIGHWAY ROADS
0.0,0.5,0.5,0.25,0.5
0.0,0.5,0.0,0.0,0.5
1.0,0.0,0.5,0.25,1.0
0.0,0.5,0.0,0.25,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.5,0.25,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,1.0,0.25,0.0
0.5,0.0,0.0,0.25,0.5
0.5,0.0,0.0,0.75,1.0
0.0,0.0,0.0,1.0,1.0
0.5,0.0,0.0,0.25,0.0
0.0,0.5,0.0,0.25,0.0
1.0,0.5,0.5,0.25,0.0
1.0,0.5,0.5,0.0,0.5
0.0,0.5,0.5,1.0,0.0
0.0,0.0,0.5,0.25,1.0
0.0,0.5,0.5,0.25,0.5
0.5,0.5,0.0,0.25,0.0
0.5,0.5,0.5,0.0,0.0
0.5,0.5,0.5,0.25,0.5
0.0,0.5,1.0,0.75,0.5
1.0,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.0,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,0.5
1.0,0.5,0.5,0.25,1.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.5,0.0,0.5
1.0,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.25,1.0
1.0,0.5,0.5,0.25,0.5
0.5,0.0,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.0,0.5,0.0,0.75,0.5
0.0,0.5,0.0,0.0,0.5
0.5,0.5,0.5,0.25,0.5
0.0,0.0,0.0,0.25,0.0
0.5,0.5,0.5,0.0,0.0
0.5,0.0,0.0,0.25,0.5
1.0,0.5,0.5,0.75,0.0
0.5,0.5,0.5,0.75,1.0
0.5,0.5,0.0,0.25,0.5
1.0,0.5,0.0,0.25,0.5
0.5,0.5,0.5,0.25,0.5
