"ainh_47. Wenn Sie in einem selbstfahrenden Auto unterwegs sind und das Auto die Kontrolle über die Geschwindigkeit hat, mit welchem ​​Geschwindigkeitsbereich würden Sie sich beim Fahren am wohlsten fühlen: NICHT-AUTOBAHNSTRASSEN","ainh_48. Wenn Sie in einem selbstfahrenden Auto unterwegs sind, erwarten Sie auf NICHT-AUTOBAHNSTRASSEN, dass das Auto die Spur wechselt:","ainh_49. Wenn Sie in einem selbstfahrenden Auto auf NICHT-HAUPTSTRASSEN unterwegs sind, wäre Ihre Präferenz für die Art und Weise, wie es beschleunigt und verzögert, wie folgt:","ainh_50. Wenn Sie in einem selbstfahrenden Auto unterwegs sind, wie oft würden Sie damit rechnen, dass das Auto andere Fahrzeuge überholt, wenn Sie auf folgenden Straßen fahren: NICHT AUTOBAHNSTRASSEN","ainh_51. Wenn Sie in einem selbstfahrenden Auto unterwegs sind, wie oft möchten Sie, dass das Auto beim Fahren auf folgenden Straßen bremst?"
0.5,0.0,0.5,0.0,0.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.0,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.0
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.5,0.5,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.5,1.0
0.0,0.5,0.5,0.5,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.0,0.0
0.5,0.0,0.5,0.5,0.5
0.0,0.5,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,1.0
0.0,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,1.0
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.0
0.0,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.0
0.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,0.5,0.5
