"aih_53. Si viaja en un automóvil autónomo y el automóvil tiene el control de la velocidad, ¿con qué rango de velocidad se sentiría más cómodo al conducir en: CARRETERAS AUTOPISTA","aih_54. Si viaja en un automóvil autónomo, en AUTOPISTAS, espera que el automóvil cambie de carril:","aih_55. Si viaja en un automóvil autónomo, en CARRETERAS DE AUTOPISTA, su preferencia por la forma en que acelera y desacelera sería:","aih_56. Si viaja en un automóvil autónomo, ¿con qué frecuencia esperaría que el automóvil pasara a otros vehículos cuando conduce en: CARRETERAS AUTOPISTA","aih_57. Si viaja en un automóvil autónomo, ¿con qué frecuencia desearía que el automóvil frenara cuando conduce en: CARRETERAS AUTOPISTA"
0.5,0.0,0.5,0.5,0.5
1.0,1.0,1.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.0,0.5
0.0,0.5,0.5,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.5,1.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.5,0.5
0.5,0.0,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.5
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
