"ainh_47. Si viaja en un automóvil autónomo y el automóvil controla la velocidad, ¿con qué rango de velocidad se sentiría más cómodo al conducir en: CARRETERAS QUE NO SON AUTOPISTAS","ainh_48. Si viaja en un automóvil autónomo, en CARRETERAS QUE NO SON AUTOPISTAS, espera que el automóvil cambie de carril:","ainh_49. Si viaja en un automóvil autónomo, en CARRETERAS QUE NO SON AUTOPISTAS, su preferencia por la forma en que acelera y desacelera sería:","ainh_50. Si viaja en un automóvil autónomo, ¿con qué frecuencia esperaría que el automóvil pasara a otros vehículos cuando conduce en: CARRETERAS QUE NO SON AUTOPISTAS","ainh_51. Si viaja en un automóvil autónomo, ¿con qué frecuencia desea que el automóvil frene cuando conduce en: CARRETERAS QUE NO SON AUTOPISTAS"
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.0,0.5,0.0,0.0
0.5,0.5,0.5,0.0,0.5
0.0,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.5,1.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.0,0.0
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.5,0.5,0.0
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.5,0.5,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
