ait_39. Wie hoch ist Ihr Vertrauen in die Nutzung künstlicher Intelligenz oder vollständig autonomer Technologien?,"ait_40. Wie hoch ist Ihr Vertrauen in die Nutzung eines selbstfahrenden Autos, wenn diese Technologie verfügbar wird?","ait_41. Wie groß ist Ihr Vertrauen, dass selbstfahrende Autos Ihre eigene Sicherheit als oberstes Ziel behalten werden?","ait_42. Wie groß ist Ihr Vertrauen, dass selbstfahrende Autos in Baustellen mit vorübergehenden Umleitungen navigieren können, die normalerweise gegen den Verkehrsfluss verlaufen würden?","ait_43. Wie hoch ist Ihr Vertrauen, dass selbstfahrende Autos in überfüllten Fußgängerzonen navigieren können?","ait_44. Wie hoch ist Ihr Vertrauen, dass selbstfahrende Autos Sie erfolgreich an das von Ihnen gewünschte GENAUE Ziel bringen werden?","ait_45. Wie hoch ist Ihr Vertrauen in die Fähigkeit selbstfahrender Autos, sicher zu navigieren, ohne dass sich eine Person im Fahrzeug befindet?"
1.0,1.0,1.0,1.0,0.75,1.0,0.75
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.75,0.5,0.0,0.75,0.5
0.5,0.75,0.75,1.0,0.75,1.0,0.25
0.25,0.0,0.25,0.0,0.0,0.25,0.25
1.0,0.25,0.25,0.0,0.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.75,0.75,0.75,0.75,0.75,1.0,0.75
0.5,1.0,0.75,0.5,0.5,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.25,0.25,0.5,0.25,0.0,0.75,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.75,0.5,1.0,0.75
1.0,1.0,1.0,0.75,0.5,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0
0.25,0.25,0.25,0.25,0.25,0.5,0.5
0.25,0.25,0.5,0.25,0.0,0.25,0.25
0.5,0.25,0.25,0.25,0.0,0.25,0.25
1.0,0.75,0.75,0.5,0.5,0.75,0.5
0.0,0.25,1.0,0.5,0.75,1.0,0.5
0.25,0.25,0.25,0.5,0.0,1.0,0.25
0.5,0.5,0.5,0.75,0.25,0.75,0.75
0.5,0.5,0.75,0.75,0.5,0.75,0.75
0.0,0.0,0.25,0.25,0.0,0.25,0.5
0.5,0.75,0.75,0.25,0.0,0.75,0.5
0.5,0.25,0.25,0.0,0.25,0.5,0.0
0.25,0.25,0.5,0.25,0.25,0.75,0.25
0.5,0.75,0.75,0.75,1.0,1.0,0.75
1.0,0.75,0.75,0.5,0.75,1.0,1.0
0.25,0.5,0.5,0.75,0.0,0.25,0.5
0.75,0.75,0.75,0.25,0.25,1.0,0.75
0.75,0.25,0.25,0.25,0.0,0.75,0.25
0.25,0.25,0.5,0.25,0.5,0.25,0.5
0.25,0.25,0.75,0.0,0.0,0.25,0.25
0.5,0.75,0.5,0.25,0.5,0.75,0.25
0.75,0.5,1.0,0.75,0.5,1.0,0.75
0.75,0.25,0.25,0.5,0.0,0.25,0.0
0.75,0.75,0.75,0.25,0.25,0.75,0.75
0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.0,0.25,0.25,0.75,0.25
0.25,0.25,0.0,0.25,0.5,0.25,0.75
0.5,0.5,0.5,0.25,0.25,1.0,1.0
0.25,0.25,0.25,0.25,0.0,0.75,0.5
0.25,0.25,0.75,0.75,0.0,0.75,0.0
0.25,0.25,0.5,0.75,1.0,1.0,1.0
0.75,0.25,0.75,0.75,0.5,1.0,0.5
0.75,0.75,1.0,0.25,0.25,0.75,0.75
0.25,0.0,0.75,0.0,0.0,0.75,0.0
0.75,0.75,0.75,0.5,0.0,1.0,0.75
0.25,0.25,0.75,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0
0.75,0.75,1.0,0.75,0.75,1.0,1.0
0.75,0.5,0.75,1.0,1.0,1.0,1.0
1.0,0.75,0.25,0.75,0.0,0.75,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.0,0.25,0.5,0.0
0.25,0.0,0.25,0.75,0.0,1.0,0.5
0.25,0.25,0.5,0.0,0.25,0.75,1.0
0.25,0.0,0.0,0.0,0.0,0.75,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.25
0.0,0.0,0.25,0.0,0.0,0.75,0.0
0.25,0.25,0.25,0.25,0.25,0.75,0.25
0.25,0.25,0.5,0.25,0.25,1.0,0.25
1.0,0.75,0.25,0.5,1.0,0.75,0.25
