ait_39. ¿Cuál es su nivel de confianza para utilizar Inteligencia Artificial o Tecnologías Totalmente Autónomas?,ait_40. ¿Cuál es su nivel de confianza para utilizar un automóvil autónomo cuando esta tecnología esté disponible?,ait_41. ¿Cuál es su nivel de confianza en que los automóviles autónomos mantendrán su propia seguridad como objetivo principal?,ait_42. ¿Cuál es su nivel de confianza en que los vehículos autónomos podrán navegar en zonas de construcción que incluyen desvíos temporales que normalmente irían en contra del flujo del tráfico?,ait_43. ¿Cuál es su nivel de confianza en que los automóviles autónomos podrán navegar en áreas peatonales concurridas?,ait_44. ¿Cuál es su nivel de confianza en que los automóviles autónomos lo llevarán con éxito al destino EXACTO que solicitó?,ait_45. ¿Cuál es su nivel de confianza en la capacidad de los automóviles autónomos para navegar de manera segura sin nadie en el vehículo?
0.0,0.0,0.0,0.0,0.0,0.25,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.75,0.5,0.75,0.75,0.75,0.25
0.75,0.75,0.75,0.5,0.75,0.75,0.75
0.75,0.5,0.75,0.25,0.75,1.0,0.5
0.75,0.5,0.5,0.25,0.5,0.75,0.25
0.75,0.75,0.75,0.25,0.75,0.75,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.75,0.5
0.75,0.5,0.25,0.25,0.25,0.75,0.0
1.0,1.0,1.0,0.5,1.0,1.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.5,0.5,1.0,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.5,0.0,0.0,0.25,0.75,0.75
0.75,0.75,0.75,0.75,0.5,0.5,0.25
0.75,0.75,0.75,0.5,0.25,0.75,0.5
0.5,0.5,0.5,0.5,0.5,0.75,0.75
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.75,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.25,0.25,0.25,0.0,0.0,0.5,0.0
0.5,0.25,0.5,0.5,0.5,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.5,0.25,0.25,0.5,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.0,0.0,0.25,0.25,0.0,0.0
0.0,0.25,0.25,0.0,0.0,0.5,0.0
0.0,0.0,0.25,0.0,0.0,1.0,0.0
